nuclear,total,area_id,year,month
0,22030402,3,2012,10
0,10636161,4,2012,10
0,2311457,5,2012,10
1791734,11543787,6,2012,10
0,4826805,7,2012,10
0,2269868,8,2012,10
0,6796368,9,2012,10
0,690502,10,2012,10
0,2880641,1,2012,11
0,6775132,2,2012,11
0,22738991,3,2012,11
0,10767699,4,2012,11
0,2488590,5,2012,11
1753763,11904808,6,2012,11
0,4994303,7,2012,11
0,2340293,8,2012,11
0,7099440,9,2012,11
0,608106,10,2012,11
0,3467021,1,2012,12
0,8018040,2,2012,12
0,26477891,3,2012,12
0,12137131,4,2012,12
0,2902768,5,2012,12
1821844,13798864,6,2012,12
0,5919297,7,2012,12
0,2741672,8,2012,12
0,8267032,9,2012,12
0,618117,10,2012,12
0,3562102,1,2013,1
0,8371161,2,2013,1
0,27078783,3,2013,1
0,12326341,4,2013,1
0,2969308,5,2013,1
1825288,14043099,6,2013,1
0,6017736,7,2013,1
0,2817390,8,2013,1
0,8333947,9,2013,1
0,623351,10,2013,1
0,3158286,1,2013,2
0,7693293,2,2013,2
0,24774879,3,2013,2
0,11637310,4,2013,2
0,2773076,5,2013,2
1649007,12899562,6,2013,2
0,5371078,7,2013,2
0,2512815,8,2013,2
0,7348048,9,2013,2
0,560192,10,2013,2
0,3192202,1,2013,3
0,7533830,2,2013,3
0,23401339,3,2013,3
0,11286040,4,2013,3
0,2661534,5,2013,3
1825856,12635175,6,2013,3
0,5264741,7,2013,3
0,2465324,8,2013,3
0,7300939,9,2013,3
0,615547,10,2013,3
0,2746669,1,2013,4
0,6628966,2,2013,4
0,21380989,3,2013,4
0,10248471,4,2013,4
0,2379653,5,2013,4
1765449,11411585,6,2013,4
0,4839959,7,2013,4
0,2289637,8,2013,4
0,6718898,9,2013,4
0,594771,10,2013,4
0,2634981,1,2013,5
0,6393346,2,2013,5
0,21384315,3,2013,5
0,10308410,4,2013,5
0,2260469,5,2013,5
1775601,11414564,6,2013,5
0,4771013,7,2013,5
0,2234040,8,2013,5
0,6760839,9,2013,5
0,685841,10,2013,5
0,2423360,1,2013,6
0,6337915,2,2013,6
0,21974682,3,2013,6
0,10798896,4,2013,6
0,2320820,5,2013,6
1746130,11934446,6,2013,6
0,4968423,7,2013,6
0,2357762,8,2013,6
0,7209844,9,2013,6
0,806062,10,2013,6
0,2644941,1,2013,7
0,6821881,2,2013,7
0,26114925,3,2013,7
0,12635601,4,2013,7
0,2678904,5,2013,7
1782026,14251365,6,2013,7
0,5801741,7,2013,7
0,2788551,8,2013,7
0,8769578,9,2013,7
0,901095,10,2013,7
0,2679670,1,2013,8
0,7173602,2,2013,8
0,27394039,3,2013,8
0,12679718,4,2013,8
0,2716342,5,2013,8
1759758,14677681,6,2013,8
0,6027558,7,2013,8
0,2881261,8,2013,8
0,9010416,9,2013,8
0,921299,10,2013,8
0,2504989,1,2013,9
0,6454354,2,2013,9
0,23455835,3,2013,9
0,11311967,4,2013,9
0,2362884,5,2013,9
473786,12071694,6,2013,9
0,5049696,7,2013,9
0,2319380,8,2013,9
0,7322850,9,2013,9
0,820213,10,2013,9
0,2660309,1,2013,10
0,6599393,2,2013,10
0,22298123,3,2013,10
0,10999336,4,2013,10
0,2382877,5,2013,10
0,11852734,6,2013,10
0,4983171,7,2013,10
0,2300367,8,2013,10
0,7055454,9,2013,10
0,728888,10,2013,10
0,2841492,1,2013,11
0,6911354,2,2013,11
0,22357433,3,2013,11
0,10823257,4,2013,11
0,2503717,5,2013,11
0,11729984,6,2013,11
0,5075817,7,2013,11
0,2293799,8,2013,11
0,7059630,9,2013,11
0,620554,10,2013,11
0,3227616,1,2013,12
0,7916412,2,2013,12
0,25668081,3,2013,12
0,12059720,4,2013,12
0,2863937,5,2013,12
0,13380583,6,2013,12
0,5870548,7,2013,12
0,2689072,8,2013,12
0,8225176,9,2013,12
0,628555,10,2013,12
0,3527133,1,2014,1
0,8394772,2,2014,1
0,26733872,3,2014,1
0,12532396,4,2014,1
0,2980211,5,2014,1
0,13868526,6,2014,1
0,5987789,7,2014,1
0,2721498,8,2014,1
0,8162899,9,2014,1
0,620402,10,2014,1
0,3148344,1,2014,2
0,7720944,2,2014,2
0,25106523,3,2014,2
0,11815599,4,2014,2
0,2778007,5,2014,2
0,12869267,6,2014,2
0,5566216,7,2014,2
0,2527366,8,2014,2
0,7538366,9,2014,2
0,568835,10,2014,2
0,3173473,1,2014,3
0,7816118,2,2014,3
0,24494276,3,2014,3
0,11810999,4,2014,3
0,2777566,5,2014,3
0,12724331,6,2014,3
0,5453951,7,2014,3
0,2488066,8,2014,3
0,7450340,9,2014,3
0,609804,10,2014,3
0,2650873,1,2014,4
0,6468065,2,2014,4
0,20889011,3,2014,4
0,10199542,4,2014,4
0,2334487,5,2014,4
0,11120698,6,2014,4
0,4843659,7,2014,4
0,2218140,8,2014,4
0,6623213,9,2014,4
0,590741,10,2014,4
0,2469504,1,2014,5
0,6264221,2,2014,5
0,20828331,3,2014,5
0,10092831,4,2014,5
0,2228902,5,2014,5
0,11038844,6,2014,5
0,4788289,7,2014,5
0,2154354,8,2014,5
0,6625009,9,2014,5
0,676428,10,2014,5
0,2399367,1,2014,6
0,6333029,2,2014,6
0,21898585,3,2014,6
0,10791298,4,2014,6
0,2319655,5,2014,6
0,11535266,6,2014,6
0,4937699,7,2014,6
0,2238515,8,2014,6
0,6918355,9,2014,6
0,778603,10,2014,6
0,2608026,1,2014,7
0,6893406,2,2014,7
0,25041779,3,2014,7
0,12309863,4,2014,7
0,2624304,5,2014,7
0,13498322,6,2014,7
0,5547718,7,2014,7
0,2609272,8,2014,7
0,8024890,9,2014,7
0,904427,10,2014,7
0,2589419,1,2014,8
0,6992395,2,2014,8
0,25573618,3,2014,8
0,11785731,4,2014,8
0,2586000,5,2014,8
0,13228433,6,2014,8
0,5441445,7,2014,8
0,2568778,8,2014,8
0,7971073,9,2014,8
0,885280,10,2014,8
0,2446458,1,2014,9
0,6249315,2,2014,9
0,21358393,3,2014,9
0,10752687,4,2014,9
0,2353981,5,2014,9
0,11424229,6,2014,9
0,4919585,7,2014,9
0,2255633,8,2014,9
0,7106883,9,2014,9
0,853429,10,2014,9
0,2658332,1,2014,10
0,6452707,2,2014,10
0,21300306,3,2014,10
0,10596521,4,2014,10
0,2353427,5,2014,10
0,11215974,6,2014,10
0,4869928,7,2014,10
0,2227950,8,2014,10
0,6743893,9,2014,10
0,721737,10,2014,10
0,2749246,1,2014,11
0,6762934,2,2014,11
0,21561641,3,2014,11
0,10493243,4,2014,11
0,2448624,5,2014,11
0,11141836,6,2014,11
0,4955098,7,2014,11
0,2252832,8,2014,11
0,6821346,9,2014,11
0,628081,10,2014,11
0,3330369,1,2014,12
0,8282236,2,2014,12
0,25530944,3,2014,12
0,12303719,4,2014,12
0,3039783,5,2014,12
0,13458372,6,2014,12
0,6026056,7,2014,12
0,2774139,8,2014,12
0,8217572,9,2014,12
0,627379,10,2014,12
0,3354996,1,2015,1
0,8283792,2,2015,1
0,26022001,3,2015,1
0,12318241,4,2015,1
0,3031661,5,2015,1
0,13576809,6,2015,1
0,5961162,7,2015,1
0,2709533,8,2015,1
0,8065343,9,2015,1
0,627192,10,2015,1
0,2944949,1,2015,2
0,7414031,2,2015,2
0,23792107,3,2015,2
0,11393817,4,2015,2
0,2751879,5,2015,2
0,12238870,6,2015,2
0,5387864,7,2015,2
0,2457754,8,2015,2
0,7367529,9,2015,2
0,561908,10,2015,2
0,2932814,1,2015,3
0,7432708,2,2015,3
0,23298249,3,2015,3
0,11480581,4,2015,3
0,2783071,5,2015,3
0,12376431,6,2015,3
0,5432162,7,2015,3
0,2507170,8,2015,3
0,7298084,9,2015,3
0,604887,10,2015,3
0,2513085,1,2015,4
0,6382188,2,2015,4
0,20782070,3,2015,4
0,10207558,4,2015,4
0,2360748,5,2015,4
0,10871431,6,2015,4
0,4711615,7,2015,4
0,2189468,8,2015,4
0,6520474,9,2015,4
0,613729,10,2015,4
0,2338183,1,2015,5
0,6114307,2,2015,5
0,20169449,3,2015,5
0,9917557,4,2015,5
0,2192139,5,2015,5
0,10614923,6,2015,5
0,4610577,7,2015,5
0,2115045,8,2015,5
0,6529219,9,2015,5
0,709660,10,2015,5
0,2312714,1,2015,6
0,6206603,2,2015,6
0,20848856,3,2015,6
0,10527700,4,2015,6
0,2316469,5,2015,6
0,11033109,6,2015,6
0,4776370,7,2015,6
0,2231079,8,2015,6
0,6891144,9,2015,6
0,852965,10,2015,6
0,2493801,1,2015,7
0,7016423,2,2015,7
0,24730463,3,2015,7
0,12047122,4,2015,7
0,2641612,5,2015,7
0,12773111,6,2015,7
0,5431351,7,2015,7
0,2523701,8,2015,7
0,7624190,9,2015,7
0,887148,10,2015,7
0,2504241,1,2015,8
0,6940818,2,2015,8
0,24697648,3,2015,8
0,12077418,4,2015,8
0,2624876,5,2015,8
0,13161603,6,2015,8
0,5587837,7,2015,8
0,2611336,8,2015,8
267183,7965894,9,2015,8
0,867837,10,2015,8
0,2347051,1,2015,9
0,6115457,2,2015,9
0,20650703,3,2015,9
0,10653709,4,2015,9
0,2299351,5,2015,9
0,10752681,6,2015,9
0,4773997,7,2015,9
0,2171402,8,2015,9
671280,6723219,9,2015,9
0,797643,10,2015,9
0,2527698,1,2015,10
0,6365882,2,2015,10
0,19987303,3,2015,10
0,10325586,4,2015,10
0,2322453,5,2015,10
0,10460306,6,2015,10
0,4758751,7,2015,10
0,2143928,8,2015,10
842705,6478642,9,2015,10
0,733543,10,2015,10
0,2689608,1,2015,11
0,6650319,2,2015,11
0,20516794,3,2015,11
0,10443898,4,2015,11
0,2414582,5,2015,11
0,10627807,6,2015,11
0,4929033,7,2015,11
0,2198485,8,2015,11
1346924,6757923,9,2015,11
0,658015,10,2015,11
0,3071333,1,2015,12
0,7479094,2,2015,12
0,22870891,3,2015,12
0,11143057,4,2015,12
0,2733030,5,2015,12
0,11795023,6,2015,12
0,5502814,7,2015,12
0,2448353,8,2015,12
1396314,7401060,9,2015,12
0,624670,10,2015,12
